amfi_code,VaR_95,CVaR,scheme_name
100016,-0.014363639988111099,-0.018060207632171713,HDFC Top 100 Fund - Regular Plan - Growth
100025,-0.0037932461995226,-0.004993763020560235,HDFC Short Term Debt Fund - Regular - Growth
100033,-0.01903353586155876,-0.023455762770703745,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,-0.013281661986281399,-0.017439425687129154,ABSL Frontline Equity Fund - Regular - Growth
101207,-0.02602124822106102,-0.0324590589870443,ABSL Small Cap Fund - Regular - Growth
101208,-0.00026865751303995996,-0.00042208206558571037,ABSL Liquid Fund - Regular - Growth
102885,-0.01261262882069352,-0.015490405253112067,UTI Nifty 50 Index Fund - Regular - Growth
102886,-0.01922028344426498,-0.023250860269221154,UTI Mid Cap Fund - Regular - Growth
102887,-0.0152316172791578,-0.01941118267915865,UTI Flexi Cap Fund - Regular - Growth
118632,-0.01395404587001808,-0.0176185793201621,Nippon India Large Cap Fund - Regular - Growth
118633,-0.013442525143024159,-0.01663017825400478,Nippon India Large Cap Fund - Direct - Growth
118634,-0.02543811145896308,-0.03230407269781849,Nippon India Small Cap Fund - Regular - Growth
118635,-0.01255369728475462,-0.01617696049480907,Nippon India ETF Nifty 50 BeES
118636,-0.00380414606894428,-0.004918918420478235,Nippon India Gilt Securities Fund - Regular - Growth
119092,-0.01374959207636374,-0.017327870956436002,Axis Bluechip Fund - Regular - Growth
119093,-0.014225516634796,-0.01748670974901301,Axis Bluechip Fund - Direct - Growth
119094,-0.018480276243938238,-0.024260059478370517,Axis Midcap Fund - Regular - Growth
119095,-0.02618842440959032,-0.03166729360598023,Axis Small Cap Fund - Regular - Growth
119120,-0.00393828312185076,-0.005013693153022198,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,-0.0128462286288425,-0.01639680693408757,SBI Bluechip Fund - Regular Plan - Growth
119552,-0.01350097047993506,-0.017335699664199775,SBI Bluechip Fund - Direct Plan - Growth
119598,-0.02450705190567708,-0.030595264108802363,SBI Small Cap Fund - Regular Plan - Growth
119599,-0.026859435149613777,-0.03238412245049213,SBI Small Cap Fund - Direct Plan - Growth
120503,-0.01355001716250344,-0.01745055416552428,ICICI Pru Bluechip Fund - Regular - Growth
120504,-0.01372819329593972,-0.01749414368560656,ICICI Pru Bluechip Fund - Direct - Growth
120505,-0.01889178619869272,-0.024342070395519767,ICICI Pru Midcap Fund - Regular - Growth
120506,-0.014388462899080839,-0.019404898602496858,ICICI Pru Value Discovery Fund - Regular - Growth
120507,-0.00022157351389338,-0.0003725803997964466,ICICI Pru Liquid Fund - Regular - Growth
120841,-0.013141782186804,-0.016362736618343313,Kotak Bluechip Fund - Regular - Growth
120842,-0.018218530452556,-0.02272497526268083,Kotak Emerging Equity Fund - Regular - Growth
120843,-0.01450794138563042,-0.018381077688017104,Kotak Flexicap Fund - Regular - Growth
120844,-0.00028479272823552,-0.0004109959193322759,Kotak Liquid Fund - Regular - Growth
125497,-0.0145917690711404,-0.01830988532805787,HDFC Top 100 Fund - Direct Plan - Growth
125498,-0.01836532016960094,-0.023093793053167895,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,-0.01355977641751052,-0.01762287990582216,Mirae Asset Large Cap Fund - Regular - Growth
148568,-0.01471153133351274,-0.01876476958423083,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,-0.0171181926556211,-0.021328305810328047,Mirae Asset Tax Saver Fund - Regular - Growth
149322,-0.014473851983792701,-0.018401747612732552,DSP Top 100 Equity Fund - Regular - Growth
149323,-0.0178820762019034,-0.022606642100420286,DSP Midcap Fund - Regular - Growth
149324,-0.02348306938677714,-0.031036252021884363,DSP Small Cap Fund - Regular - Growth
